#####################################################################
# Alchemist log file - simulation started at: 2024-04-12T13:57+0000 #
#####################################################################
#
# Algorithm = sm_av, CamHerdRatio = 3.0, NumberOfHerds = 2.0, Seed = 1.0
#
# The columns have the following meaning: 
# time 2-coverage 1-coverage CamDist ObjDist NoisePerceived[mean] NoisePerceived[variance] BodyCoverage[mean] BodyCoverage[variance] CentroidQuality[mean] CentroidQuality[variance] 
0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN
0.004885589795766698 0.0 0.0 0.0 4.0 24.504310460729414 0.0 0.0 0.0 0.0 0.0
5.004885589795767 0.0 0.0 260.0 1184.9608 24.723376281929163 0.051938899984161076 0.0 0.0 0.0 0.0
10.004885589795766 0.0 0.0 300.0 1295.6465 24.9005055815118 0.06359120281674503 0.0 0.0 0.0 0.0
15.004885589795766 0.0 0.0 300.0 1282.73 25.083082974604302 0.11211772744997617 0.0 0.0 0.0 0.0
20.004885589795766 0.0 0.0 300.0 1200.9905 25.35080905741164 0.15706380325683292 0.0 0.0 0.0 0.0
25.004885589795766 0.0 0.0 300.0 1212.8571 25.713853598544404 0.18255921701845362 0.0 0.0 0.0 0.0
30.004885589795766 0.0 0.0 300.0 1200.3289 26.24423466273029 0.24221335098237726 0.0 0.0 0.0 0.0
35.00488558979576 0.0 0.0 300.0 1181.2507 27.08561668469991 0.45243213999388554 0.0 0.0 0.0 0.0
40.00488558979576 0.0 0.0 300.0 1149.2992 28.393715296570075 0.9387581200801695 0.0 0.0 0.0 0.0
45.00488558979576 0.0 0.1207 300.0 1157.1704 30.515921571494484 2.1870499096584286 0.014009517569542192 0.0034733814346263416 0.0337720654202737 0.01906820797943326
50.00488558979576 0.0 0.3707 242.3439 1129.8049 31.563177927975133 3.5518332374606825 0.1216708284077078 0.028927852921608977 0.19123163318939093 0.07977177732190262
55.00488558979576 0.0 0.4138 206.76 1145.61 31.721761169403514 4.161235111172927 0.1370513706508057 0.03196743079262192 0.20662181846915342 0.08476091194005818
60.00488558979576 0.0 0.4483 208.2681 1109.7508 31.67088565045904 4.368863161756076 0.15616426475904102 0.03471610075904945 0.20067237235569615 0.08470154908226817
65.00488558979576 0.0 0.4741 207.9858 1121.0247 31.722140796945965 5.01303156174441 0.16993002746597416 0.03655773313277388 0.1950254061027245 0.08476891616767147
70.00488558979576 0.0 0.5086 217.0805 1165.1876 31.919409940201398 6.0462489209463595 0.18730181070998062 0.038330056732690805 0.21397568858023763 0.09101106364405148
75.00488558979576 0.0 0.5776 207.9669 1155.4781 32.11578933192033 6.934487238823586 0.20707853139825666 0.03716108508090027 0.187912731597677 0.11513917008518444
80.00488558979576 0.0 0.6034 212.2788 1191.8607 32.38753628975366 8.459367053569732 0.2180011018814777 0.036228937632995485 0.1934009178066317 0.12978381522286062
85.00488558979576 0.0 0.6293 211.1888 1168.9236 32.60141252682286 9.500833603524944 0.22499064812136008 0.035197580592169146 0.16088327393658108 0.14378159600425233
90.00488558979576 0.0 0.6121 209.7176 1171.801 32.702938378455194 10.246999450503159 0.22187699808913475 0.03600635567841248 0.15805591741953828 0.14046125107923327
95.00488558979576 0.0 0.6207 212.8643 1200.3538 32.829514696951975 10.577357347803801 0.22364018137442904 0.03581508092099164 0.2006000744868728 0.13705024669700386
