#####################################################################
# Alchemist log file - simulation started at: 2024-04-19T15:53+0000 #
#####################################################################
#
# Algorithm = ff_linpro, CamHerdRatio = 1.0, NumberOfHerds = 2.0, Seed = 18.0
#
# The columns have the following meaning: 
# time 2-coverage 1-coverage CamDist ObjDist NoisePerceivedNormalized[mean] NoisePerceivedNormalized[variance] NoisePerceived[mean] NoisePerceived[variance] NoisePerceived[percentile90] NoisePerceived[max] BodyCoverage[mean] BodyCoverage[variance] FovDistance[mean] FovDistance[variance] 
0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.007 0.0 0.0 0.0 0.6054 NaN NaN 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1e+01 0.0 0.0 190.0 2578.4301 NaN NaN 1.86 34.2 0.00 20.2 0.00 0.00 0.00 0.00
2e+01 0.0 0.0 200.0 2613.7919 NaN NaN 10.9 113 21.5 21.8 0.00 0.00 0.00 0.00
3e+01 0.0 0.0 200.0 2453.3472 NaN NaN 11.8 135 23.4 23.8 0.00 0.00 0.00 0.00
4e+01 0.0 0.0 200.0 2337.9065 NaN NaN 12.8 156 25.5 26.0 0.00 0.00 0.00 0.00
5e+01 0.0 0.0 200.0 2341.6326 NaN NaN 13.0 163 26.2 27.0 0.00 0.00 0.00 0.00
6e+01 0.0 0.0 200.0 2263.462 NaN NaN 12.3 146 25.0 25.9 0.00 0.00 0.00 0.00
7e+01 0.0 0.0 200.0 2305.0582 NaN NaN 11.2 121 22.6 23.3 0.00 0.00 0.00 0.00
8e+01 0.0 0.0 200.0 2238.7469 NaN NaN 10.7 114 22.1 22.6 0.00 0.00 0.00 0.00
9e+01 0.0 0.0 200.0 2326.6187 NaN NaN 11.9 136 24.1 24.9 0.00 0.00 0.00 0.00
1e+02 0.0 0.0 200.0 2400.0953 NaN NaN 12.9 160 26.6 27.4 0.00 0.00 0.00 0.00
1e+02 0.0 0.0 200.0 2391.4515 NaN NaN 13.7 180 28.1 29.2 0.00 0.00 0.00 0.00
1e+02 0.0 0.0 200.0 2358.7135 NaN NaN 13.7 179 27.4 28.2 0.00 0.00 0.00 0.00
1e+02 0.0 0.0 200.0 2436.4007 NaN NaN 13.0 163 25.7 26.0 0.00 0.00 0.00 0.00
1e+02 0.0 0.0 200.0 2505.1303 NaN NaN 12.3 146 24.4 24.7 0.00 0.00 0.00 0.00
2e+02 0.0 0.0 200.0 2473.9241 NaN NaN 12.2 142 24.3 24.9 0.00 0.00 0.00 0.00
2e+02 0.0 0.0 200.0 2454.553 NaN NaN 13.3 170 27.0 28.3 0.00 0.00 0.00 0.00
2e+02 0.0 0.1429 184.4655 2411.5453 NaN NaN 15.5 234 32.8 35.5 0.0549 0.0196 0.0733 0.0397
2e+02 0.0 0.1765 109.7473 2352.2809 NaN NaN 15.8 242 33.2 35.8 0.0708 0.0236 0.0961 0.0513
2e+02 0.0 0.2353 107.3239 2443.3954 NaN NaN 16.2 253 33.7 35.5 0.0940 0.0290 0.118 0.0618
2e+02 0.0 0.2941 108.6775 2361.5822 NaN NaN 16.7 268 34.4 35.8 0.114 0.0328 0.125 0.0701
2e+02 0.0 0.3697 114.5872 2448.7908 NaN NaN 17.3 288 35.4 36.7 0.147 0.0374 0.103 0.0886
2e+02 0.0 0.4454 112.054 2475.599 NaN NaN 18.2 318 37.2 38.3 0.174 0.0384 0.105 0.123
