#####################################################################
# Alchemist log file - simulation started at: 2024-04-19T14:56+0000 #
#####################################################################
#
# Algorithm = bc_re_c, CamHerdRatio = 0.5, NumberOfHerds = 4.0, Seed = 9.0
#
# The columns have the following meaning: 
# time 2-coverage 1-coverage CamDist ObjDist NoisePerceivedNormalized[mean] NoisePerceivedNormalized[variance] NoisePerceived[mean] NoisePerceived[variance] NoisePerceived[percentile90] NoisePerceived[max] BodyCoverage[mean] BodyCoverage[variance] FovDistance[mean] FovDistance[variance] 
0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.008 0.0 0.0 0.0 1.0 NaN NaN 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1e+01 0.0 0.0 185.0 2666.4027 NaN NaN 7.85 176 30.2 31.3 0.00 0.00 0.00 0.00
2e+01 0.0 0.2615 192.3533 2442.1272 NaN NaN 9.15 238 35.3 37.3 0.104 0.0307 0.185 0.102
3e+01 0.0 0.2615 184.4043 2539.3048 NaN NaN 9.79 274 38.1 43.5 0.0551 0.0106 0.178 0.0958
4e+01 0.2385 0.2615 189.4339 2545.2939 NaN NaN 9.96 282 38.2 41.8 0.168 0.0862 0.184 0.101
5e+01 0.2615 0.2615 92.0355 2615.5117 NaN NaN 9.96 282 38.3 39.0 0.207 0.122 0.182 0.101
6e+01 0.2615 0.2615 46.3185 2534.5911 NaN NaN 9.95 282 38.3 38.9 0.207 0.122 0.181 0.101
7e+01 0.2615 0.2615 53.516 2637.0041 NaN NaN 9.92 280 38.1 38.6 0.208 0.123 0.186 0.106
8e+01 0.2615 0.2615 49.6839 2611.68 NaN NaN 9.95 282 38.3 39.1 0.202 0.117 0.189 0.109
9e+01 0.2615 0.2615 38.0026 2680.6072 NaN NaN 10.0 287 38.4 39.8 0.191 0.104 0.184 0.103
1e+02 0.2385 0.2615 41.0351 2597.4364 NaN NaN 10.1 290 38.5 40.3 0.171 0.0851 0.179 0.100
1e+02 0.2231 0.2615 49.182 2625.7555 NaN NaN 10.2 294 38.9 40.8 0.156 0.0706 0.171 0.0938
1e+02 0.2077 0.2615 37.8002 2534.8265 NaN NaN 10.2 298 39.5 41.0 0.137 0.0543 0.165 0.0896
1e+02 0.1385 0.2615 56.0393 2595.4092 NaN NaN 10.1 291 38.6 41.6 0.129 0.0486 0.179 0.0984
1e+02 0.1615 0.2615 151.2177 2708.2173 NaN NaN 9.95 282 38.1 41.3 0.136 0.0560 0.172 0.0990
2e+02 0.1692 0.2615 66.8144 2684.3384 NaN NaN 9.80 274 37.9 40.7 0.141 0.0598 0.188 0.107
2e+02 0.1615 0.2615 79.0738 2600.6587 NaN NaN 9.80 274 38.1 41.0 0.139 0.0586 0.182 0.113
2e+02 0.1538 0.2615 87.0473 2595.3852 NaN NaN 9.84 276 38.4 39.7 0.134 0.0535 0.193 0.112
2e+02 0.1615 0.2615 92.2586 2617.204 NaN NaN 9.75 271 38.2 39.2 0.132 0.0515 0.123 0.0910
2e+02 0.1538 0.2615 104.0275 2606.61 NaN NaN 10.2 272 38.0 39.8 0.127 0.0476 0.193 0.112
2e+02 0.1538 0.2615 114.9235 2598.1535 NaN NaN 11.7 283 38.8 40.5 0.122 0.0430 0.136 0.0907
2e+02 0.1538 0.2615 100.4929 2681.1241 NaN NaN 12.7 265 38.1 40.2 0.125 0.0457 0.125 0.0894
2e+02 0.1692 0.2615 98.2027 2690.7376 NaN NaN 14.3 263 38.4 41.2 0.124 0.0448 0.177 0.105
2e+02 0.1692 0.2615 104.1851 2706.5903 NaN NaN 15.3 251 37.9 41.0 0.125 0.0456 0.139 0.0917
2e+02 0.1692 0.2615 83.7234 2783.2298 NaN NaN 15.5 256 38.0 41.8 0.122 0.0433 0.138 0.0898
3e+02 0.1462 0.2615 97.8902 2747.6198 NaN NaN 15.4 250 37.6 41.8 0.124 0.0446 0.142 0.0895
3e+02 0.1462 0.2615 119.7051 2601.6159 NaN NaN 15.8 260 38.4 42.2 0.121 0.0424 0.138 0.0923
3e+02 0.1846 0.2538 110.1247 2604.4206 NaN NaN 16.2 276 39.3 47.2 0.126 0.0459 0.153 0.0916
3e+02 0.1462 0.2462 117.8624 2645.8374 NaN NaN 16.0 261 38.3 43.4 0.120 0.0433 0.182 0.108
3e+02 0.1615 0.2462 76.4939 2702.8633 NaN NaN 16.5 282 39.4 46.3 0.117 0.0427 0.144 0.0872
3e+02 0.1462 0.2231 107.5443 2612.1945 NaN NaN 16.1 261 37.9 43.6 0.110 0.0441 0.148 0.0904
3e+02 0.1538 0.2308 83.9323 2575.5116 NaN NaN 16.7 278 39.3 44.8 0.113 0.0441 0.137 0.0780
3e+02 0.1692 0.2462 124.4299 2565.3076 NaN NaN 16.9 284 39.3 45.3 0.123 0.0477 0.135 0.0801
3e+02 0.1308 0.2615 119.6841 2579.7484 NaN NaN 16.8 274 37.8 39.7 0.121 0.0424 0.183 0.104
3e+02 0.1231 0.2538 89.0899 2606.6928 NaN NaN 17.1 281 38.1 40.5 0.115 0.0402 0.184 0.106
4e+02 0.1231 0.2615 51.0905 2655.8279 NaN NaN 17.5 290 38.5 39.9 0.114 0.0377 0.112 0.101
4e+02 0.1154 0.2615 105.9119 2567.94 NaN NaN 17.6 294 38.3 40.5 0.117 0.0398 0.178 0.0994
4e+02 0.1077 0.2615 107.8079 2512.1193 NaN NaN 17.9 302 38.5 41.6 0.114 0.0378 0.138 0.0897
4e+02 0.1077 0.2846 78.136 2509.1751 NaN NaN 18.0 303 38.1 40.4 0.120 0.0380 0.177 0.103
4e+02 0.0923 0.4 95.9752 2612.6293 NaN NaN 18.6 320 37.9 39.4 0.163 0.0526 0.233 0.111
4e+02 0.0538 0.3846 18.1501 2534.1869 NaN NaN 18.5 317 37.5 39.8 0.150 0.0424 0.186 0.116
4e+02 0.0385 0.3769 14.3657 2584.4478 NaN NaN 18.4 313 37.1 40.3 0.145 0.0381 0.237 0.110
4e+02 0.0 0.3615 32.4566 2717.1471 NaN NaN 18.2 306 37.0 39.2 0.134 0.0330 0.231 0.108
4e+02 0.0 0.3769 22.2521 2572.1537 NaN NaN 18.2 308 37.4 38.5 0.144 0.0350 0.240 0.111
4e+02 0.0 0.3846 16.2232 2493.2394 NaN NaN 18.1 306 36.8 38.7 0.149 0.0363 0.244 0.114
5e+02 0.0 0.4077 28.6082 2625.8082 NaN NaN 18.1 305 36.6 38.5 0.155 0.0358 0.240 0.108
5e+02 0.0 0.4077 24.586 2573.3028 NaN NaN 18.0 303 36.8 39.0 0.154 0.0362 0.215 0.109
5e+02 0.0 0.4077 24.07 2554.0846 NaN NaN 17.9 299 36.3 39.8 0.154 0.0356 0.241 0.109
5e+02 0.0 0.3769 29.3894 2682.0345 NaN NaN 17.8 295 36.5 39.6 0.139 0.0323 0.239 0.113
5e+02 0.0 0.3385 17.3927 2673.4153 NaN NaN 17.6 289 36.4 39.8 0.116 0.0279 0.215 0.104
5e+02 0.0 0.3231 21.4991 2572.6149 NaN NaN 17.5 287 36.4 39.7 0.105 0.0248 0.215 0.108
5e+02 0.0 0.3154 18.7886 2576.278 NaN NaN 17.4 283 36.9 40.3 0.0951 0.0225 0.206 0.105
5e+02 0.0 0.2923 21.1167 2533.9293 NaN NaN 17.3 281 36.8 40.4 0.0824 0.0187 0.199 0.104
5e+02 0.0 0.3 29.915 2595.8111 NaN NaN 17.3 282 36.8 39.9 0.0745 0.0154 0.209 0.110
5e+02 0.0 0.2615 21.1803 2676.0411 NaN NaN 17.0 273 35.9 39.7 0.0587 0.0115 0.187 0.106
6e+02 0.0 0.2692 32.8103 2696.7057 NaN NaN 17.0 272 35.9 40.1 0.0513 0.00923 0.181 0.102
6e+02 0.0 0.2692 31.6187 2656.3627 NaN NaN 17.0 273 36.0 40.7 0.0462 0.00697 0.189 0.104
6e+02 0.0 0.2462 21.8511 2632.253 NaN NaN 16.9 269 36.3 41.5 0.0373 0.00467 0.177 0.0996
6e+02 0.0 0.2308 22.9116 2612.4198 NaN NaN 16.7 264 35.8 40.8 0.0324 0.00397 0.166 0.0985
6e+02 0.0 0.2308 25.301 2511.6525 NaN NaN 16.6 260 35.4 41.4 0.0295 0.00337 0.159 0.0948
6e+02 0.0 0.2154 25.7223 2675.644 NaN NaN 16.5 257 35.4 40.0 0.0276 0.00296 0.160 0.0998
6e+02 0.0 0.2385 39.9264 2693.7112 NaN NaN 16.6 262 35.7 40.4 0.0275 0.00257 0.168 0.101
6e+02 0.0 0.2308 31.061 2630.4002 NaN NaN 16.7 263 35.9 40.3 0.0284 0.00260 0.171 0.100
6e+02 0.0 0.2308 28.742 2683.9597 NaN NaN 16.6 260 35.4 39.3 0.0284 0.00274 0.169 0.101
6e+02 0.0 0.2308 29.7913 2693.1556 NaN NaN 16.6 259 35.6 38.7 0.0287 0.00280 0.173 0.105
7e+02 0.0 0.2231 28.8409 2569.1742 NaN NaN 16.6 259 35.7 39.5 0.0285 0.00291 0.168 0.104
7e+02 0.0 0.2231 31.0859 2637.9714 NaN NaN 16.5 258 35.4 39.2 0.0302 0.00351 0.163 0.102
7e+02 0.0 0.2385 34.4495 2628.1246 NaN NaN 16.6 261 35.4 40.9 0.0373 0.00519 0.170 0.102
7e+02 0.0 0.2538 32.502 2584.7343 NaN NaN 16.8 266 35.7 41.9 0.0463 0.00722 0.182 0.104
7e+02 0.0 0.2692 35.7628 2643.815 NaN NaN 16.9 268 36.1 40.3 0.0537 0.00898 0.197 0.111
7e+02 0.0 0.2769 33.0138 2621.1114 NaN NaN 16.9 269 35.8 39.8 0.0575 0.0103 0.201 0.116
7e+02 0.0 0.2692 30.8987 2657.3734 NaN NaN 16.8 267 35.9 39.7 0.0568 0.0101 0.203 0.118
7e+02 0.0 0.2769 32.0034 2593.6951 NaN NaN 16.9 269 36.1 38.9 0.0574 0.00991 0.206 0.117
7e+02 0.0 0.2769 29.4458 2541.593 NaN NaN 17.0 272 36.4 39.5 0.0590 0.00998 0.207 0.115
7e+02 0.0 0.2846 31.3428 2571.67 NaN NaN 16.9 270 36.1 38.8 0.0612 0.0105 0.212 0.120
8e+02 0.0 0.2769 22.2498 2523.4227 NaN NaN 16.9 268 36.1 38.9 0.0592 0.00998 0.210 0.121
8e+02 0.0 0.2769 33.7507 2566.215 NaN NaN 17.0 271 36.5 39.1 0.0617 0.0100 0.216 0.120
8e+02 0.0 0.2923 33.7797 2631.7315 NaN NaN 17.0 273 36.2 39.4 0.0627 0.0103 0.215 0.119
8e+02 0.0 0.3 29.8121 2599.767 NaN NaN 17.1 275 36.7 39.6 0.0646 0.0105 0.218 0.119
8e+02 0.0 0.3 29.8286 2586.653 NaN NaN 17.1 277 37.0 40.7 0.0650 0.0107 0.214 0.114
8e+02 0.0 0.2769 23.2126 2560.4606 NaN NaN 16.9 269 36.2 39.0 0.0558 0.00923 0.203 0.116
8e+02 0.0 0.2769 30.1947 2619.611 NaN NaN 16.9 270 36.1 39.1 0.0528 0.00812 0.203 0.119
8e+02 0.0 0.2769 24.9366 2538.0599 NaN NaN 17.0 272 35.8 41.7 0.0528 0.00786 0.204 0.116
8e+02 0.0 0.2846 32.6493 2564.0369 NaN NaN 17.0 272 36.0 40.7 0.0512 0.00745 0.200 0.111
8e+02 0.0 0.2769 26.9728 2566.6824 NaN NaN 17.0 273 36.2 40.0 0.0524 0.00786 0.199 0.109
9e+02 0.0 0.2769 29.7828 2589.5894 NaN NaN 17.0 272 35.9 39.5 0.0529 0.00815 0.199 0.110
9e+02 0.0 0.2692 25.2372 2617.1351 NaN NaN 16.9 271 36.2 40.5 0.0517 0.00815 0.190 0.104
9e+02 0.0 0.2692 29.1427 2558.1069 NaN NaN 17.0 272 36.7 39.8 0.0550 0.00890 0.198 0.109
9e+02 0.0 0.2769 32.8328 2627.6893 NaN NaN 17.0 271 36.6 39.2 0.0555 0.00914 0.200 0.111
9e+02 0.0 0.2769 29.1261 2599.3387 NaN NaN 17.0 273 36.6 39.9 0.0593 0.00998 0.200 0.108
9e+02 0.0 0.2615 24.185 2634.6563 NaN NaN 16.9 268 36.3 38.4 0.0538 0.00946 0.192 0.111
9e+02 0.0 0.3154 41.0276 2578.5373 NaN NaN 17.2 279 37.0 39.6 0.0684 0.0118 0.219 0.111
9e+02 0.0 0.2923 25.3191 2612.5141 NaN NaN 17.2 279 36.9 40.9 0.0655 0.0116 0.205 0.106
9e+02 0.0 0.3154 28.901 2536.2913 NaN NaN 17.2 279 36.8 39.6 0.0725 0.0132 0.215 0.108
9e+02 0.0 0.3154 26.1448 2515.1642 NaN NaN 17.3 280 36.7 39.9 0.0734 0.0138 0.215 0.111
1e+03 0.0 0.3154 26.5061 2502.2334 NaN NaN 17.3 282 37.1 40.0 0.0806 0.0148 0.225 0.110
1e+03 0.0 0.3077 23.7474 2529.4283 NaN NaN 17.2 279 36.6 39.9 0.0754 0.0142 0.216 0.112
1e+03 0.0 0.3 23.0184 2530.9204 NaN NaN 17.2 277 36.1 40.0 0.0720 0.0134 0.214 0.114
1e+03 0.0 0.3077 26.7852 2528.3994 NaN NaN 17.1 276 36.6 40.5 0.0735 0.0134 0.217 0.113
1e+03 0.0 0.3154 28.2883 2509.3033 NaN NaN 17.2 277 36.4 40.1 0.0758 0.0136 0.227 0.120
1e+03 0.0 0.3231 27.6572 2454.3839 NaN NaN 17.3 281 36.6 40.8 0.0752 0.0131 0.232 0.120
1e+03 0.0 0.3077 28.0784 2561.7527 NaN NaN 17.2 280 36.5 39.7 0.0707 0.0121 0.229 0.121
1e+03 0.0 0.3154 22.036 2526.1538 NaN NaN 17.2 278 36.2 40.4 0.0702 0.0120 0.230 0.122
1e+03 0.0 0.3308 31.9745 2543.3873 NaN NaN 17.3 283 36.7 41.6 0.0717 0.0118 0.238 0.124
